risk_label,score,matched_rules,explanation,transaction_id,index
Low,20,[],"All relevant clauses (CDD, risk assessment, wire transfer travel rule, sanctions screening, value transfer rules, enhanced CDD, simplified CDD, new product assessment, record keeping, suspicious transaction reporting) are satisfied. No violations detected.",135cef35-c054-46f0-8d8d-daedb7429de4,0
Low,20,['Potential Sanctions Screening'],"The transaction meets all applicable AML/CFT requirements: CDD and EDD were performed for a PEP customer, sanctions screening was completed (though flagged as potential), travel‑rule information is complete, and no suspicious activity was identified. No regulatory violations were detected, resulting in a low‑risk assessment.",66f1c2c5-6585-40e9-9b9d-4ec10c6fdbae,1
High,85,"['Missing Sanctions Screening', 'Missing Originator Address/ID for Value Transfer >S$1,500', 'Missing Value Transfer Disclosure']","The transaction is a cross‑border digital token transfer (product_has_va_exposure=true) exceeding the S$1,500 threshold. The bank failed to provide originator address/ID or unique ID (clause 11A.6‑11A.8), did not disclose value transfer information (clause 11A.12‑11A.15), and did not perform sanctions screening (clause 6.39‑6.42). These violations trigger a high‑risk assessment.",15ce0bc5-e37b-4279-90ee-e5d289713d46,2
Medium,55,"['Potential Sanctions Hit', 'High-Risk Country without EDD Required']","The transaction involved a customer from a high‑risk jurisdiction (Russia) but the bank did not flag enhanced due diligence as required, and sanctions screening returned a potential hit. The transaction proceeded without filing a suspicious transaction report, indicating medium‑level AML/CFT risk.",e8db37cf-2a87-404b-af55-bc48ed06a1e1,3
Low,20,"['Risk Assessment', 'Customer Due Diligence', 'Enhanced Customer Due Diligence', 'Wire Transfer Travel Rule', 'Sanctions Screening']","The transaction is a high‑value FX conversion involving a high‑risk, PEP customer from Japan to Vietnam. All required CDD, EDD, and travel‑rule compliance have been performed (KYC completed, EDD performed, originator/beneficiary details provided, travel rule complete). No suspicion has been determined and sanctions screening shows only a potential hit, not a confirmed hit. Therefore the transaction complies with all relevant MAS Notice 626 clauses and is assessed as low risk.",015e2202-1c97-4f0f-9756-2c8fc85e7ac9,4
High,85,"['EDD Not Performed for High Risk Customer', 'Sanctions Screening Not Performed', 'KYC Overdue']","The transaction involves a high‑risk corporate customer from China to Japan with a cash deposit of CNY 6,267.57. The bank’s risk assessment requires enhanced due diligence (EDD) for high‑risk customers, yet EDD was not performed. Sanctions screening was not conducted, and the customer’s KYC was overdue (due date 7/10/2023). These breaches of clauses 4, 6.3, 6.19‑6.26, 6.39‑6.42, and 8 constitute significant AML/CFT compliance failures, warranting a high‑risk classification.",01572a13-834c-4119-8463-cfbcb36f50a3,5
Medium,55,"['6.3.b', '6.19-6.26']","The transaction is a cross‑border wire transfer exceeding S$1,500. The KYC last completed date (26/8/2021) is older than the acceptable period for a low‑risk corporate customer, violating the requirement to keep KYC recent for such transfers. No other clauses are breached, so the transaction is assessed as medium risk.",3f4edd2a-4c2e-463a-b497-b415b3fbe5f4,6
High,90,"['risk_assessment.clause_4', 'customer_due_diligence.clause_6.sub_clauses.6.2', 'customer_due_diligence.clause_6.sub_clauses.6.3', 'customer_due_diligence.clause_6.sub_clauses.6.19_to_6.26', 'customer_due_diligence.clause_6.sub_clauses.6.39_to_6.42', 'simplified_cdd.clause_7', 'enhanced_cdd.clause_8', 'wire_transfers.clause_11', 'suspicious_transaction_reporting.clause_14']","The transaction involves a high‑risk customer for whom enhanced due diligence (EDD) is required but was not performed. The KYC was last completed over two years ago, and sanctions screening returned a potential hit. The cross‑border wire transfer failed to complete the Travel Rule, and the customer was processed under simplified CDD despite a high risk rating. These multiple breaches of MAS Notice 626 clauses indicate a high likelihood of money‑laundering risk.",0f03f53b-7e05-4479-8375-018720c4760a,7
High,80,"['Risk Assessment for High-Risk Jurisdiction', 'Enhanced Due Diligence Not Applied for High-Risk Country', 'Potential Sanctions Hit Without STR']","The transaction involves a beneficiary in Iran, a FATF counter‑measure jurisdiction, yet the risk assessment rates the customer as Medium and EDD is marked as not required. This violates Clause 4 and Clause 8 requirements for high‑risk customers. Additionally, sanctions screening returned a potential hit but no suspicious transaction report was filed, breaching Clause 6.2 and Clause 14. These multiple breaches warrant a high‑risk classification.",c2d0711d-9c0b-40ee-a4e5-845124d9e45b,8
Medium,55,"['High Transaction Amount', 'Potential Sanctions Hit', 'Outdated KYC']","The wire transfer exceeds the S$20,000 threshold for non‑relationship customers, yet the KYC was last completed over a year ago, violating the requirement for recent CDD. Additionally, sanctions screening returned a potential hit, but no suspicious transaction report was filed, breaching the sanctions screening and STR obligations under MAS Notice 626. These infractions elevate the risk to a medium level.",dc7425bc-fcce-49fa-b58f-7cd1dbf27319,9
